X,Y,class,BRUVid,BRUV,BRUV.date,BOSS,BOSS.date,ObjectId,GlobalID,x2,y2
114.7338721,-34.02368897,MBH,179,,,,,180,e364aaf5-aa83-4037-b166-1cffdbcff5b1,114.7338721,-34.02368897
114.7038721,-33.99618897,MBH,180,,,Y,11/11/2020,181,e001900c-46d2-4bd7-ac57-f9ab29b47cab,114.7038721,-33.99618897
114.6988721,-33.98868897,MBH,181,,,Y,11/11/2020,182,7df8cee8-6ce7-4d27-a3f8-0982e2eec62c,114.6988721,-33.98868897
114.6938721,-33.99368897,MBH,182,,,,,183,98acd4d8-d426-4a78-90d6-29ebadc8b6fe,114.6938721,-33.99368897
114.9113721,-34.03618897,MBH,183,,,,,184,e488fec2-64d9-4033-8291-c3ab918fefbf,114.9113721,-34.03618897
114.9038721,-34.04118897,MBH,184,Y,16/10/2020,,,185,d23d5b31-29f9-40f9-b720-60670a991945,114.9038721,-34.04118897
114.6638721,-33.98868897,MBH,189,F,23/10/2020,Y,11/11/2020,186,ff4b1505-83bd-41a8-88f8-6a36c6fb42cf,114.6638721,-33.98868897
114.6788721,-33.99368897,MBH,190,,,,,187,c0b72a84-8797-41ab-b9a9-fd777fe593db,114.6788721,-33.99368897
114.6713721,-33.99868897,MBH,191,Y,23/10/2020,Y,11/11/2020,188,d63de5f2-e6f2-4883-bcf2-0a35b77a56ec,114.6713721,-33.99868897
114.6688721,-33.98618897,MBH,192,Y,23/10/2020,Y,11/11/2020,189,c54e9a0f-f462-4980-8739-c51f9f8efe12,114.6688721,-33.98618897
114.6713721,-33.99118897,MBH,193,,,,,190,6f76e393-83bf-41fb-bf6c-431faacc7676,114.6713721,-33.99118897
114.6638721,-33.99618897,MBH,194,Y,23/10/2020,Y,11/11/2020,191,759de8bb-75a4-453b-951c-1077694cf527,114.6638721,-33.99618897
114.8588721,-34.09368897,Legacy,195,Y,16/10/2020,Y,31/10/2020,192,244090f1-a5b8-4835-b36d-ccb50c653dc4,114.8588721,-34.09368897
114.8713721,-34.08618897,Legacy,196,,,,,193,60e04f75-703b-4912-b5c9-77b2ea6dfba4,114.8713721,-34.08618897
